All-Genes,Genes in same transcription unit,Accession-1,Left-End-Position
Rv0964c,Rv0964c,Rv0964c,1076196
Rv0965c,Rv0966c // Rv0965c,Rv0965c,1076778
Rv0966c,Rv0966c // Rv0965c,Rv0966c,1077233
csoR,csoR,Rv0967,1077975
Rv0968,Rv0968,Rv0968,1078391
ctpV,Rv0970 // ctpV,Rv0969,1078743
Rv0970,Rv0970 // ctpV,Rv0970,1081052
echA7,Rv0976c // fadE13 // accD2 // accA2 // fadE12 // echA7,Rv0971c,1081775
fadE12,Rv0976c // fadE13 // accD2 // accA2 // fadE12 // echA7,Rv0972c,1082584
accA2,Rv0976c // fadE13 // accD2 // accA2 // fadE12 // echA7,Rv0973c,1083747
accD2,Rv0976c // fadE13 // accD2 // accA2 // fadE12 // echA7,Rv0974c,1085756
fadE13,Rv0976c // fadE13 // accD2 // accA2 // fadE12 // echA7,Rv0975c,1087348
Rv0976c,Rv0976c // fadE13 // accD2 // accA2 // fadE12 // echA7,Rv0976c,1088493
PE_PGRS16,PE_PGRS16,Rv0977,1090373
PE_PGRS17,PE_PGRS17,Rv0978c,1093361
rpmF,rpmF,Rv0979A,1094886
Rv0979c,Rv0979c,Rv0979c,1094670
PE_PGRS18,PE_PGRS18,Rv0980c,1095078
mprA,mprB // mprA,Rv0981,1096822
mprB,mprB // mprA,Rv0982,1097508
pepD,moaB2 // pepD,Rv0983,1099066
moaB2,moaB2 // pepD,Rv0984,1100460
mscL,mscL,Rv0985c,1101025
Rv0986,Rv0988 // Rv0987 // Rv0986,Rv0986,1101803
Rv0987,Rv0988 // Rv0987 // Rv0986,Rv0987,1102542
Rv0988,Rv0988 // Rv0987 // Rv0986,Rv0988,1105116
grcC2,grcC2,Rv0989c,1106405
hsp22.5,hsp22.5,Rv0990c,1107443
Rv0991c,Rv0991c,Rv0991c,1108172
Rv0992c,Rv0992c,Rv0992c,1108578
galU,galU,Rv0993,1109272
moeA1,moeA1,Rv0994,1110269
rimJ,rimJ,Rv0995,1111612
Rv0996,Rv0996,Rv0996,1112384
Rv0997,Rv0999 // Rv0998 // Rv0997,Rv0997,1114293
Rv0998,Rv0999 // Rv0998 // Rv0997,Rv0998,1114748
Rv0999,Rv0999 // Rv0998 // Rv0997,Rv0999,1115767
Rv1000c,Rv1000c,Rv1000c,1116531
arcA,arcA,Rv1001,1117185
Rv1002c,Rv1002c,Rv1002c,1118428
rsmI,rsmI,Rv1003,1120022
Rv1004c,Rv1004c,Rv1004c,1120889
pabB,pabB,Rv1005c,1122222
Rv1006,Rv1006,Rv1006,1123714
metS,metS,Rv1007c,1125444
tatD,tatD,Rv1008,1127089
rpfB,rpfB,Rv1009,1128091
ksgA,ksgA,Rv1010,1129152
ispE,Rv1012 // ispE,Rv1011,1130191
Rv1012,Rv1012 // ispE,Rv1012,1131128
pks16,pks16,Rv1013,1131625
pth,rplY // pth,Rv1014c,1133333
rplY,rplY // pth,Rv1015c,1133921
lpqT,prsA // lpqT,Rv1016c,1134785
prsA,prsA // lpqT,Rv1017c,1135501
glmU,glnT // glmU,Rv1018c,1136573
Rv1019,Rv1019,Rv1019,1138315
mfd,mazG // mfd,Rv1020,1138967
mazG,mazG // mfd,Rv1021,1142671
lpqU,lpqU,Rv1022,1143736
eno,ppx2 // Rv1025 // Rv1024 // eno,Rv1023,1144564
Rv1024,ppx2 // Rv1025 // Rv1024 // eno,Rv1024,1145858
Rv1025,ppx2 // Rv1025 // Rv1024 // eno,Rv1025,1146561
ppx2,ppx2 // Rv1025 // Rv1024 // eno,Rv1026,1147019
kdpE,kdpD // kdpE,Rv1027c,1148427
kdpF,kdpC // kdpB // kdpA // kdpF,Rv1028A,1151920
kdpD,kdpD // kdpE,Rv1028c,1149104
kdpA,kdpC // kdpB // kdpA // kdpF,Rv1029,1152012
kdpB,kdpC // kdpB // kdpA // kdpF,Rv1030,1153724
kdpC,kdpC // kdpB // kdpA // kdpF,Rv1031,1155853
trcS,trcR // trcS,Rv1032c,1156426
trcR,trcR // trcS,Rv1033c,1157963
Rv1034c,Rv1034c,Rv1034c,1158918
Rv1035c,Rv1036c // Rv1035c,Rv1035c,1159375
Rv1036c,Rv1036c // Rv1035c,Rv1036c,1160095
esxI,esxJ // esxI,Rv1037c,1160544
esxJ,esxJ // esxI,Rv1038c,1160855
PPE15,PPE15,Rv1039c,1161297
PE8,PE8,Rv1040c,1162549
Rv1041c,Rv1041c,Rv1041c,1164572
Rv1042c,Rv1042c,Rv1042c,1165092
Rv1043c,Rv1043c,Rv1043c,1165781
Rv1044,Rv1045 // Rv1044,Rv1044,1167053
Rv1045,Rv1045 // Rv1044,Rv1045,1167673
Rv1046c,Rv1046c,Rv1046c,1168704
Rv1047,Rv1047,Rv1047,1169423
Rv1048c,Rv1048c,Rv1048c,1171038
Rv1049,Rv1049,Rv1049,1172386
Rv1050,Rv1050,Rv1050,1172881
Rv1051c,Rv1051c,Rv1051c,1173945
Rv1052,Rv1052,Rv1052,1175723
Rv1053c,Rv1053c,Rv1053c,1176011
Rv1054,leuX // Rv1055 // Rv1054,Rv1054,1176928
Rv1055,leuX // Rv1055 // Rv1054,Rv1055,1177239
Rv1056,Rv1056,Rv1056,1177628
Rv1057,Rv1057,Rv1057,1179396
fadD14,fadD14,Rv1058,1180684
Rv1059,Rv1059,Rv1059,1182391
Rv1060,Rv1062 // Rv1061 // Rv1060,Rv1060,1183508
Rv1061,Rv1062 // Rv1061 // Rv1060,Rv1061,1184015
Rv1062,Rv1062 // Rv1061 // Rv1060,Rv1062,1184883
Rv1063c,Rv1063c,Rv1063c,1185741
lpqV,lpqV,Rv1064c,1186904
Rv1065,Rv1066 // Rv1065,Rv1065,1187435
Rv1066,Rv1066 // Rv1065,Rv1066,1187998
PE_PGRS19,PE_PGRS19,Rv1067c,1188421
PE_PGRS20,PE_PGRS20,Rv1068c,1190757
Rv1069c,echA9 // echA8 // Rv1069c,Rv1069c,1192510
echA8,echA9 // echA8 // Rv1069c,Rv1070c,1194270
echA9,echA9 // echA8 // Rv1069c,Rv1071c,1195055
Rv1072,Rv1072,Rv1072,1196279
Rv1073,Rv1073,Rv1073,1197231
fadA3,fadA3,Rv1074c,1198156
Rv1075c,Rv1075c,Rv1075c,1199426
lipU,lipU,Rv1076,1200767
cbs,cbs,Rv1077,1201717
pra,metB // pra,Rv1078,1203313
metB,metB // pra,Rv1079,1204067
greA,greA,Rv1080c,1205304
Rv1081c,Rv1081c,Rv1081c,1205984
mca,Rv1084 // Rv1083 // mca,Rv1082,1206520
Rv1083,Rv1084 // Rv1083 // mca,Rv1083,1207383
Rv1084,Rv1084 // Rv1083 // mca,Rv1084,1207636
Rv1085c,Rv1085c,Rv1085c,1209756
Rv1086,Rv1086,Rv1086,1210595
PE_PGRS21,PE_PGRS21,Rv1087,1211560
Rv1087A,Rv1087A,Rv1087A,1214040
PE9,PE9,Rv1088,1214513
PE10,PE10,Rv1089,1214769
celA2a,celA2a,Rv1089A,1215517
celA2b,celA2b,Rv1090,1215599
PE_PGRS22,PE_PGRS22,Rv1091,1216469
coaA,coaA,Rv1092c,1219248
glyA1,glyA1,Rv1093,1220574
desA2,desA2,Rv1094,1221959
phoH2,phoH2,Rv1095,1222997
Rv1096,Rv1096,Rv1096,1224385
Rv1097c,glpX // fum // Rv1097c,Rv1097c,1225263
fum,glpX // fum // Rv1097c,Rv1098c,1226141
glpX,glpX // fum // Rv1097c,Rv1099c,1227596
Rv1100,Rv1100,Rv1100,1228683
Rv1101c,Rv1101c,Rv1101c,1229391
mazF3,mazE3 // mazF3,Rv1102c,1230660
mazE3,mazE3 // mazF3,Rv1103c,1230971
Rv1104,Rv1104,Rv1104,1231301
Rv1105,Rv1105,Rv1105,1232311
Rv1106c,Rv1109c // xseA // xseB // Rv1106c,Rv1106c,1232844
xseB,Rv1109c // xseA // xseB // Rv1106c,Rv1107c,1233966
xseA,Rv1109c // xseA // xseB // Rv1106c,Rv1108c,1234213
Rv1109c,Rv1109c // xseA // xseB // Rv1106c,Rv1109c,1235457
lytB2,lytB2,Rv1110,1236185
Rv1111c,Rv1111c,Rv1111c,1237209
Rv1112,Rv1112,Rv1112,1238255
vapB32,vapC32 // vapB32,Rv1113,1239416
vapC32,vapC32 // vapB32,Rv1114,1239610
Rv1115,Rv1115,Rv1115,1240187
Rv1116,Rv1116,Rv1116,1241003
Rv1116A,Rv1116A,Rv1116A,1241115
Rv1117,Rv1117,Rv1117,1241633
Rv1118c,Rv1120c // Rv1119c // Rv1118c,Rv1118c,1241971
Rv1119c,Rv1120c // Rv1119c // Rv1118c,Rv1119c,1242864
Rv1120c,Rv1120c // Rv1119c // Rv1118c,Rv1120c,1243010
zwf1,gnd2 // zwf1,Rv1121,1243707
gnd2,gnd2 // zwf1,Rv1122,1245129
bpoB,bpoB,Rv1123c,1246144
ephC,Rv1125 // ephC,Rv1124,1247127
Rv1125,Rv1125 // ephC,Rv1125,1248082
Rv1126c,ppdK // Rv1126c,Rv1126c,1249330
ppdK,ppdK // Rv1126c,Rv1127c,1249932
Rv1128c,Rv1128c,Rv1128c,1251617
prpR,prpR,Rv1129c,1253074
prpD,Rv1132 // prpC // prpD,Rv1130,1254555
prpC,Rv1132 // prpC // prpD,Rv1131,1256132
Rv1132,Rv1132 // prpC // prpD,Rv1132,1257325
metE,metE,Rv1133c,1259067
Rv1134,Rv1134,Rv1134,1261922
Rv1135A,Rv1135A,Rv1135A,1264314
PPE16,PPE16,Rv1135c,1262272
Rv1136,Rv1136,Rv1136,1264606
Rv1137c,Rv1139c // Rv1138c // Rv1137c,Rv1137c,1265087
Rv1138c,Rv1139c // Rv1138c // Rv1137c,Rv1138c,1265472
Rv1139c,Rv1139c // Rv1138c // Rv1137c,Rv1139c,1266485
Rv1140,Rv1140,Rv1140,1267347
echA11,echA10 // echA11,Rv1141c,1268203
echA10,echA10 // echA11,Rv1142c,1269152
mcr,Rv1144 // mcr,Rv1143,1270062
Rv1144,Rv1144 // mcr,Rv1144,1271156
mmpL13a,mmpL13b // mmpL13a,Rv1145,1272423
mmpL13b,mmpL13b // mmpL13a,Rv1146,1273355
Rv1147,Rv1147,Rv1147,1274900
Rv1148c,Rv1148c,Rv1148c,1276300
Rv1149,Rv1150 // Rv1149,Rv1149,1277893
Rv1150,Rv1150 // Rv1149,Rv1150,1278269
Rv1151c,Rv1151c,Rv1151c,1278904
Rv1152,Rv1152,Rv1152,1279655
omt,Rv1154c // omt,Rv1153c,1279998
Rv1154c,Rv1154c // omt,Rv1154c,1280843
Rv1155,Rv1155,Rv1155,1281429
Rv1156,Rv1156,Rv1156,1282306
Rv1157c,Rv1157c,Rv1157c,1283056
Rv1158c,Rv1158c,Rv1158c,1284179
pimE,pimE,Rv1159,1284992
Rv1159.1,Rv1159.1,Rv1159A,1286284
mutT2,mutT2,Rv1160,1286595
narG,typA // narI // narJ // narH // narG,Rv1161,1287328
narH,typA // narI // narJ // narH // narG,Rv1162,1291065
narJ,typA // narI // narJ // narH // narG,Rv1163,1292798
narI,typA // narI // narJ // narH // narG,Rv1164,1293406
typA,typA // narI // narJ // narH // narG,Rv1165,1294168
lpqW,lpqW,Rv1166,1296152
Rv1167c,Rv1167c,Rv1167c,1298087
PPE17,lipX // PPE17,Rv1168c,1298764
lipX,lipX // PPE17,Rv1169c,1299822
mshB,mshB,Rv1170,1300304
Rv1171,Rv1171,Rv1171,1301307
PE12,PE12,Rv1172c,1301755
fbiC,fbiC,Rv1173,1302931
TB8.4,TB8.4,Rv1174c,1305669
fadH,Rv1176c // fadH,Rv1175c,1306202
Rv1176c,Rv1176c // fadH,Rv1176c,1308223
fdxC,Rv1178 // fdxC,Rv1177,1309005
Rv1178,Rv1178 // fdxC,Rv1178,1309364
Rv1179c,Rv1179c,Rv1179c,1310480
pks3,papA3 // pks4 // pks3,Rv1180,1313725
pks4,papA3 // pks4 // pks3,Rv1181,1315234
papA3,papA3 // pks4 // pks3,Rv1182,1320035
mmpL10,mmpL10,Rv1183,1321520
Rv1184c,Rv1184c,Rv1184c,1324532
fadD21,fadD21,Rv1185c,1325776
Rv1186c,Rv1186c,Rv1186c,1327689
Rv1187,Rv1188 // Rv1187,Rv1187,1329390
Rv1188,Rv1188 // Rv1187,Rv1188,1331021
sigI,Rv1190 // sigI,Rv1189,1332092
Rv1190,Rv1190 // sigI,Rv1190,1332980
Rv1191,Rv1191,Rv1191,1333931
Rv1192,fadD36 // Rv1192,Rv1192,1334927
fadD36,fadD36 // Rv1192,Rv1193,1335794
Rv1194c,Rv1194c,Rv1194c,1337248
PE13,PE13,Rv1195,1339003
PPE18,PPE18,Rv1196,1339349
esxK,esxK // ncrMT1234,Rv1197,1340659
esxL,esxL,Rv1198,1341006
Rv1199c,Rv1199c,Rv1199c,1341358
Rv1200,Rv1200,Rv1200,1342942
dapD,dapD,Rv1201c,1344216
dapE,dapE,Rv1202,1345260
Rv1203c,Rv1204c // Rv1203c,Rv1203c,1346321
Rv1204c,Rv1204c // Rv1203c,Rv1204c,1346936
log,log,Rv1205,1348719
fadD6,tagA // Rv1209 // gpgS // folP2 // fadD6,Rv1206,1349332
folP2,tagA // Rv1209 // gpgS // folP2 // fadD6,Rv1207,1351191
gpgS,tagA // Rv1209 // gpgS // folP2 // fadD6,Rv1208,1352144
Rv1209,tagA // Rv1209 // gpgS // folP2 // fadD6,Rv1209,1353157
tagA,tagA // Rv1209 // gpgS // folP2 // fadD6,Rv1210,1353522
Rv1211,Rv1211,Rv1211,1354243
glgA,glgA,Rv1212c,1354498
glgC,glgC,Rv1213,1355836
PE14,PE14,Rv1214c,1357293
Rv1215c,Rv1219c // Rv1218c // Rv1217c // Rv1216c // Rv1215c,Rv1215c,1357759
Rv1216c,Rv1219c // Rv1218c // Rv1217c // Rv1216c // Rv1215c,Rv1216c,1359472
Rv1217c,Rv1219c // Rv1218c // Rv1217c // Rv1216c // Rv1215c,Rv1217c,1360155
Rv1218c,Rv1219c // Rv1218c // Rv1217c // Rv1216c // Rv1215c,Rv1218c,1361798
Rv1219c,Rv1219c // Rv1218c // Rv1217c // Rv1216c // Rv1215c,Rv1219c,1362723
Rv1220c,Rv1220c,Rv1220c,1363503
sigE,sigE,Rv1221,1364413
rseA,rseA,Rv1222,1365344
htrA,tatB // htrA,Rv1223,1365875
tatB,tatB // htrA,Rv1224,1367463
Rv1225c,Rv1225c,Rv1225c,1367891
Rv1226c,Rv1227c // Rv1226c,Rv1226c,1368832
Rv1227c,Rv1227c // Rv1226c,Rv1227c,1370292
lpqX,lpqX,Rv1228,1370920
mrp,Rv1230c // mrp,Rv1229c,1371777
Rv1230c,Rv1230c // mrp,Rv1230c,1372962
Rv1231c,Rv1232c // Rv1231c,Rv1231c,1374322
Rv1232c,Rv1232c // Rv1231c,Rv1232c,1374861
Rv1233c,Rv1233c,Rv1233c,1376230
Rv1234,sugC // sugB // sugA // lpqY // Rv1234,Rv1234,1376976
lpqY,sugC // sugB // sugA // lpqY // Rv1234,Rv1235,1377524
sugA,sugC // sugB // sugA // lpqY // Rv1234,Rv1236,1378927
sugB,sugC // sugB // sugA // lpqY // Rv1234,Rv1237,1379855
sugC,sugC // sugB // sugA // lpqY // Rv1234,Rv1238,1380684
corA,corA,Rv1239c,1381942
mdh,mdh,Rv1240,1383213
vapB33,vapC33 // vapB33,Rv1241,1384278
vapC33,vapC33 // vapB33,Rv1242,1384535
PE_PGRS23,PE_PGRS23,Rv1243c,1384989
lpqZ,lpqZ,Rv1244,1386857
Rv1245c,Rv1245c,Rv1245c,1387798
relE,relB // relE,Rv1246c,1388685
relB,relB // relE,Rv1247c,1388975
Rv1248c,Rv1248c,Rv1248c,1389357
Rv1249c,Rv1249c,Rv1249c,1393194
Rv1250,Rv1250,Rv1250,1394179
Rv1251c,Rv1251c,Rv1251c,1395821
lprE,lprE,Rv1252c,1399296
deaD,Rv1254 // deaD,Rv1253,1399970
Rv1254,Rv1254 // deaD,Rv1254,1401658
Rv1255c,cyp130 // Rv1255c,Rv1255c,1402778
cyp130,cyp130 // Rv1255c,Rv1256c,1403386
Rv1257c,Rv1258c // Rv1257c,Rv1257c,1404717
Rv1258c,Rv1258c // Rv1257c,Rv1258c,1406081
udgB,Rv1260 // udgB,Rv1259,1407339
Rv1260,Rv1260 // udgB,Rv1260,1408240
Rv1261c,Rv1262c // Rv1261c,Rv1261c,1409484
Rv1262c,Rv1262c // Rv1261c,Rv1262c,1409938
amiB2,amiB2,Rv1263,1410431
Rv1264,Rv1264,Rv1264,1411894
Rv1265,Rv1265,Rv1265,1413260
pknH,pknH,Rv1266c,1413960
embR,embR,Rv1267c,1416181
Rv1268c,Rv1268c,Rv1268c,1417658
Rv1269c,Rv1269c,Rv1269c,1418579
lprA,lprA,Rv1270c,1419014
Rv1271c,Rv1271c,Rv1271c,1419961
Rv1272c,Rv1273c // Rv1272c,Rv1272c,1420410
Rv1273c,Rv1273c // Rv1272c,Rv1273c,1422302
lprB,lprC // lprB,Rv1274,1424197
lprC,lprC // lprB,Rv1275,1424751
Rv1276c,Rv1276c,Rv1276c,1425438
Rv1277,Rv1279 // Rv1278 // Rv1277,Rv1277,1426164
Rv1278,Rv1279 // Rv1278 // Rv1277,Rv1278,1427414
Rv1279,Rv1279 // Rv1278 // Rv1277,Rv1279,1430062
oppA,oppB // oppC // oppD // oppA,Rv1280c,1431665
oppD,oppB // oppC // oppD // oppA,Rv1281c,1433433
oppC,oppB // oppC // oppD // oppA,Rv1282c,1435268
oppB,oppB // oppC // oppD // oppA,Rv1283c,1436140
canA,canA,Rv1284,1437324
cysD,cysN // cysD,Rv1285,1437909
cysN,cysN // cysD,Rv1286,1438907
Rv1287,Rv1287,Rv1287,1440805
Rv1288,Rv1288,Rv1288,1441348
Rv1289,Rv1289,Rv1289,1442767
Rv1290A,Rv1290A,Rv1290A,1445058
Rv1290c,Rv1290c,Rv1290c,1443482
Rv1291c,Rv1291c,Rv1291c,1445499
argS,thrB // thrC // thrA // lysA // argS,Rv1292,1446379
lysA,thrB // thrC // thrA // lysA // argS,Rv1293,1448028
thrA,thrB // thrC // thrA // lysA // argS,Rv1294,1449375
thrC,thrB // thrC // thrA // lysA // argS,Rv1295,1450697
thrB,thrB // thrC // thrA // lysA // argS,Rv1296,1451997
rho,rho,Rv1297,1453204
rpmE,rpmE,Rv1298,1455163
prfA,Rv1301 // hemK // prfA,Rv1299,1455495
hemK,Rv1301 // hemK // prfA,Rv1300,1456565
Rv1301,Rv1301 // hemK // prfA,Rv1301,1457558
wecA,wecA,Rv1302,1458295
Rv1303,Rv1312 // atpC // atpD // atpG // atpA // atpH // atpF // atpE // atpB // Rv1303,Rv1303,1459766
atpB,Rv1312 // atpC // atpD // atpG // atpA // atpH // atpF // atpE // atpB // Rv1303,Rv1304,1460244
atpE,Rv1312 // atpC // atpD // atpG // atpA // atpH // atpF // atpE // atpB // Rv1303,Rv1305,1461045
atpF,Rv1312 // atpC // atpD // atpG // atpA // atpH // atpF // atpE // atpB // Rv1303,Rv1306,1461321
atpH,Rv1312 // atpC // atpD // atpG // atpA // atpH // atpF // atpE // atpB // Rv1303,Rv1307,1461843
atpA,Rv1312 // atpC // atpD // atpG // atpA // atpH // atpF // atpE // atpB // Rv1303,Rv1308,1463228
atpG,Rv1312 // atpC // atpD // atpG // atpA // atpH // atpF // atpE // atpB // Rv1303,Rv1309,1464884
atpD,Rv1312 // atpC // atpD // atpG // atpA // atpH // atpF // atpE // atpB // Rv1303,Rv1310,1465841
atpC,Rv1312 // atpC // atpD // atpG // atpA // atpH // atpF // atpE // atpB // Rv1303,Rv1311,1467315
Rv1312,Rv1312 // atpC // atpD // atpG // atpA // atpH // atpF // atpE // atpB // Rv1303,Rv1312,1467688
Rv1313c,Rv1313c,Rv1313c,1468171
Rv1314c,Rv1314c,Rv1314c,1469671
murA,murA,Rv1315,1470321
ogt,alkA // ogt,Rv1316c,1477134
alkA,alkA // ogt,Rv1317c,1477628
Rv1318c,Rv1318c,Rv1318c,1479199
Rv1319c,Rv1320c // Rv1319c,Rv1319c,1480894
Rv1320c,Rv1320c // Rv1319c,Rv1320c,1482514
nucS,Rv1322 // nucS,Rv1321,1484279
Rv1322,Rv1322 // nucS,Rv1322,1484982
Rv1322A,Rv1322A,Rv1322A,1485313
fadA4,fadA4,Rv1323,1485862
Rv1324,Rv1324,Rv1324,1487161
PE_PGRS24,PE_PGRS24,Rv1325c,1488154
glgB,glgE // glgB,Rv1326c,1490117
glgE,glgE // glgB,Rv1327c,1492320
glgP,glgP,Rv1328,1494564
dinG,pncB1 // dinG,Rv1329c,1497195
pncB1,pncB1 // dinG,Rv1330c,1499213
clpS,Rv1341 // rphA // Rv1339 // murI // Rv1337 // cysM // cysO // mec // Rv1333 // Rv1332 // clpS,Rv1331,1500661
Rv1332,Rv1341 // rphA // Rv1339 // murI // Rv1337 // cysM // cysO // mec // Rv1333 // Rv1332 // clpS,Rv1332,1500926
Rv1333,Rv1341 // rphA // Rv1339 // murI // Rv1337 // cysM // cysO // mec // Rv1333 // Rv1332 // clpS,Rv1333,1501599
mec,Rv1341 // rphA // Rv1339 // murI // Rv1337 // cysM // cysO // mec // Rv1333 // Rv1332 // clpS,Rv1334,1502641
cysO,Rv1341 // rphA // Rv1339 // murI // Rv1337 // cysM // cysO // mec // Rv1333 // Rv1332 // clpS,Rv1335,1503103
cysM,Rv1341 // rphA // Rv1339 // murI // Rv1337 // cysM // cysO // mec // Rv1333 // Rv1332 // clpS,Rv1336,1503394
Rv1337,Rv1341 // rphA // Rv1339 // murI // Rv1337 // cysM // cysO // mec // Rv1333 // Rv1332 // clpS,Rv1337,1504356
murI,Rv1341 // rphA // Rv1339 // murI // Rv1337 // cysM // cysO // mec // Rv1333 // Rv1332 // clpS,Rv1338,1505075
Rv1339,Rv1341 // rphA // Rv1339 // murI // Rv1337 // cysM // cysO // mec // Rv1333 // Rv1332 // clpS,Rv1339,1505917
rphA,Rv1341 // rphA // Rv1339 // murI // Rv1337 // cysM // cysO // mec // Rv1333 // Rv1332 // clpS,Rv1340,1506755
Rv1341,Rv1341 // rphA // Rv1339 // murI // Rv1337 // cysM // cysO // mec // Rv1333 // Rv1332 // clpS,Rv1341,1507573
Rv1342c,lprD // Rv1342c,Rv1342c,1508184
lprD,lprD // Rv1342c,Rv1343c,1508543
mbtL,mbtN // mbtM // mbtL,Rv1344,1508968
mbtM,mbtN // mbtM // mbtL,Rv1345,1509281
mbtN,mbtN // mbtM // mbtL,Rv1346,1510846
mbtK,mbtK,Rv1347c,1511973
irtA,irtB // irtA,Rv1348,1513047
irtB,irtB // irtA,Rv1349,1515623
fabG2,Rv1351 // fabG2,Rv1350,1517491
Rv1351,Rv1351 // fabG2,Rv1351,1518231
Rv1352,Rv1352,Rv1352,1518763
Rv1353c,Rv1356c // moeY // Rv1354c // Rv1353c,Rv1353c,1519200
Rv1354c,Rv1356c // moeY // Rv1354c // Rv1353c,Rv1354c,1520005
moeY,Rv1356c // moeY // Rv1354c // Rv1353c,Rv1355c,1521885
Rv1356c,Rv1356c // moeY // Rv1354c // Rv1353c,Rv1356c,1524029
Rv1357c,Rv1357c,Rv1357c,1525293
Rv1358,Rv1358,Rv1358,1526612
Rv1359,Rv1359,Rv1359,1530173
Rv1360,Rv1360,Rv1360,1531348
PPE19,PPE19,Rv1361c,1532443
Rv1362c,Rv1364c // mcr15 // Rv1363c // Rv1362c,Rv1362c,1533948
Rv1363c,Rv1364c // mcr15 // Rv1363c // Rv1362c,Rv1363c,1534607
Rv1364c,Rv1364c // mcr15 // Rv1363c // Rv1362c,Rv1364c,1535683
rsfA,rsfA,Rv1365c,1537783
Rv1366,Rv1366A // Rv1366,Rv1366,1538390
Rv1366A,Rv1366A // Rv1366,Rv1366A,1539180
Rv1367c,Rv1367c,Rv1367c,1539512
lprF,lprF,Rv1368,1541020
Rv1369c,Rv1370c // Rv1369c,Rv1369c,1541994
Rv1370c,Rv1370c // Rv1369c,Rv1370c,1542929
Rv1371,Rv1373 // pks18 // Rv1371,Rv1371,1543359
pks18,Rv1373 // pks18 // Rv1371,Rv1372,1544825
Rv1373,Rv1373 // pks18 // Rv1371,Rv1373,1546012
Rv1374c,Rv1374c,Rv1374c,1547072
Rv1375,Rv1376 // Rv1375,Rv1375,1547832
Rv1376,Rv1376 // Rv1375,Rv1376,1549148
Rv1377c,Rv1378c // Rv1377c,Rv1377c,1550579
Rv1378c,Rv1378c // Rv1377c,Rv1378c,1551228
pyrR,pyrF // carB // carA // Rv1382 // pyrC // pyrB // pyrR,Rv1379,1552654
pyrB,pyrF // carB // carA // Rv1382 // pyrC // pyrB // pyrR,Rv1380,1553232
pyrC,pyrF // carB // carA // Rv1382 // pyrC // pyrB // pyrR,Rv1381,1554188
Rv1382,pyrF // carB // carA // Rv1382 // pyrC // pyrB // pyrR,Rv1382,1555477
carA,pyrF // carB // carA // Rv1382 // pyrC // pyrB // pyrR,Rv1383,1555971
carB,pyrF // carB // carA // Rv1382 // pyrC // pyrB // pyrR,Rv1384,1557101
pyrF,pyrF // carB // carA // Rv1382 // pyrC // pyrB // pyrR,Rv1385,1560445
PE15,PPE20 // PE15,Rv1386,1561464
PPE20,PPE20 // PE15,Rv1387,1561769
mihF,mihF,Rv1388,1563694
gmk,gmk,Rv1389,1564401
rpoZ,dfp // rpoZ,Rv1390,1565093
dfp,dfp // rpoZ,Rv1391,1565441
metK,metK,Rv1392,1566825
Rv1393c,cyp132 // Rv1393c,Rv1393c,1568109
cyp132,cyp132 // Rv1393c,Rv1394c,1569584
Rv1395,Rv1395,Rv1395,1571047
PE_PGRS25,PE_PGRS25,Rv1396c,1572127
vapC10,vapB10 // vapC10,Rv1397c,1574112
vapB10,vapB10 // vapC10,Rv1398c,1574510
nlhH,lipI // nlhH,Rv1399c,1574850
lipI,lipI // nlhH,Rv1400c,1575834
Rv1401,Rv1401,Rv1401,1576930
priA,priA,Rv1402,1577613
Rv1403c,Rv1403c,Rv1403c,1579598
Rv1404,Rv1404,Rv1404,1580591
Rv1405c,Rv1405c,Rv1405c,1581145
fmt,ribG // rpe // fmu // fmt,Rv1406,1582166
fmu,ribG // rpe // fmu // fmt,Rv1407,1583101
rpe,ribG // rpe // fmu // fmt,Rv1408,1584499
ribG,ribG // rpe // fmu // fmt,Rv1409,1585194
Rv1410c,lprG // Rv1410c,Rv1410c,1586210
lprG,lprG // Rv1410c,Rv1411c,1587772
ribC,ribC,Rv1412,1588567
Rv1413,Rv1414 // Rv1413,Rv1413,1589386
Rv1414,Rv1414 // Rv1413,Rv1414,1589891
ribA2,lprH // Rv1417 // ribH // ribA2,Rv1415,1590397
ribH,lprH // Rv1417 // ribH // ribA2,Rv1416,1591671
Rv1417,lprH // Rv1417 // ribH // ribA2,Rv1417,1592150
lprH,lprH // Rv1417 // ribH // ribA2,Rv1418,1592639
Rv1419,Rv1419,Rv1419,1593505
uvrC,whiA // Rv1422 // Rv1421 // uvrC,Rv1420,1594042
Rv1421,whiA // Rv1422 // Rv1421 // uvrC,Rv1421,1595979
Rv1422,whiA // Rv1422 // Rv1421 // uvrC,Rv1422,1596881
whiA,whiA // Rv1422 // Rv1421 // uvrC,Rv1423,1597906
Rv1424c,Rv1424c,Rv1424c,1598893
Rv1425,Rv1425,Rv1425,1599658
lipO,Rv1428c // fadD12 // lipO,Rv1426c,1601059
fadD12,Rv1428c // fadD12 // lipO,Rv1427c,1602321
Rv1428c,Rv1428c // fadD12 // lipO,Rv1428c,1603932
Rv1429,Rv1429,Rv1429,1604878
PE16,PE16,Rv1430,1606386
Rv1431,Rv1432 // Rv1431,Rv1431,1608083
Rv1432,Rv1432 // Rv1431,Rv1432,1609849
Rv1433,Rv1434 // Rv1433,Rv1433,1611434
